iter	Passed	Remaining
406	4455	6491
407	4462	6475
408	4470	6460
409	4478	6445
410	4486	6429
411	4494	6414
412	4502	6399
413	4510	6384
414	4518	6369
415	4525	6352
416	4533	6337
417	4541	6323
418	4551	6311
419	4558	6295
420	4566	6280
421	4573	6263
422	4583	6252
423	4590	6236
424	4598	6221
425	4606	6206
426	4626	6208
427	4649	6214
428	4657	6198
429	4666	6185
430	4672	6168
431	4682	6157
432	4689	6140
433	4698	6127
434	4705	6111
435	4715	6099
436	4725	6087
437	4732	6072
438	4742	6060
439	4749	6044
440	4758	6031
441	4780	6035
442	4791	6025
443	4800	6011
444	4808	5997
445	4816	5982
446	4824	5968
447	4833	5955
448	4856	5959
449	4877	5961
450	4887	5949
451	4895	5935
452	4903	5921
453	4912	5907
454	4920	5893
455	4927	5878
456	4935	5864
457	4943	5850
458	4951	5835
459	4959	5821
460	4966	5807
461	4974	5792
462	4982	5779
463	4992	5766
464	4999	5752
465	5008	5739
466	5015	5724
467	5024	5711
468	5031	5696
469	5039	5683
470	5046	5668
471	5054	5653
472	5061	5639
473	5071	5627
474	5077	5612
475	5087	5600
476	5093	5585
477	5103	5573
478	5110	5558
479	5119	5545
480	5126	5531
481	5134	5518
482	5140	5502
483	5149	5489
484	5156	5474
485	5166	5463
486	5173	5449
487	5182	5437
488	5189	5423
489	5198	5411
490	5205	5396
491	5213	5383
492	5219	5368
493	5229	5356
494	5237	5343
495	5249	5333
496	5271	5334
497	5280	5322
498	5287	5308
499	5296	5296
500	5304	5283
501	5315	5272
502	5324	5261
503	5332	5247
504	5342	5236
505	5349	5222
506	5359	5211
507	5371	5201
508	5382	5192
509	5394	5183
510	5408	5175
511	5419	5165
512	5429	5154
513	5442	5145
514	5453	5135
515	5463	5124
516	5474	5114
517	5484	5103
518	5492	5090
519	5502	5079
520	5511	5066
521	5521	5055
522	5531	5045
523	5539	5031
524	5550	5021
525	5560	5010
526	5568	4997
527	5578	4986
528	5586	4973
529	5597	4963
530	5605	4950
531	5614	4938
532	5624	4928
533	5632	4915
534	5642	4904
535	5650	4891
536	5659	4879
537	5669	4868
538	5677	4855
539	5687	4844
540	5694	4831
541	5706	4822
542	5728	4821
543	5739	4810
544	5763	4811
545	5787	4812
546	5798	4802
547	5805	4788
548	5817	4778
549	5825	4766
550	5834	4754
551	5844	4743
552	5852	4730
553	5862	4719
554	5870	4706
555	5881	4696
556	5887	4682
557	5899	4672
558	5925	4674
559	5933	4662
560	5944	4651
561	5952	4639
562	5984	4645
563	5994	4633
564	6001	4620
565	6010	4608
566	6017	4595
567	6026	4583
568	6034	4571
569	6042	4558
570	6051	4546
571	6058	4533
572	6068	4522
573	6091	4520
574	6101	4509
575	6108	4496
576	6117	4484
577	6124	4471
578	6134	4460
579	6141	4447
